"","MSN","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","Description","State","StateName"
"1","TETCB",61434,72174,78813,80788,85067,87781,102698,115172,122532,156633,182043,200968,214384,196970,201495,232186,254674,293532,324057,299782,295757,279672,409072,437637,482898,474439,504260,499218,521404,576194,584083,602660,627237,623702,623159,704170,718796,708823,723309,725402,742138,735820,732973,733500,775038,797700,746316,723083,650421,639695,653221,653637,649341,621107,603119,"Total energy consumption.","AK","Alaska"
"2","TETCB",866851,831574,881582,913539,979643,1044971,1088594,1138614,1246729,1343234,1393617,1385063,1478196,1527391,1547838,1515313,1551983,1623676,1638624,1649050,1645058,1604167,1499225,1446066,1544689,1519791,1504837,1582744,1651823,1683264,1665543,1682950,1753456,1806217,1898428,1972487,2005028,1972624,2018519,2061519,2111723,1918045,1978862,1970222,2083473,2064991,2102515,2086296,2003783,1800963,1931522,1905207,1879716,1919365,1958221,"Total energy consumption.","AL","Alabama"
"3","TETCB",426405,432030,457213,485089,527688,529133,566462,596758,635446,681147,709020,700849,744791,820242,798522,785929,841074,886514,887235,872845,859453,821962,792669,796758,799105,789635,759661,736276,817841,882991,855939,845526,874462,949133,980036,1030800,1048242,1067518,1087632,1104999,1145639,1100559,1122812,1104336,1095462,1118740,1114880,1128863,1110504,1042195,1120632,1122544,1067642,1096438,1114409,"Total energy consumption.","AR","Arkansas"
"4","TETCB",283075,304873,324948,348343,369697,375254,403499,414505,456162,498204,520418,554228,616472,670143,676350,660048,691920,738931,748032,786539,754566,787960,746562,758051,802689,843159,853027,865876,906477,943223,938975,944742,973175,988428,1042819,1079098,1144990,1169120,1222893,1264438,1311566,1321933,1315830,1334602,1385179,1426337,1472156,1499356,1467580,1381892,1383531,1424944,1395839,1414383,1422590,"Total energy consumption.","AZ","Arizona"
"5","TETCB",3451501,3610724,3725916,3925660,4221395,4387443,4647090,4841294,5115522,5357405,5499913,5748474,5873069,6048369,5817867,6034581,6188055,6363228,6474592,6729279,6541825,6333429,6077238,6093451,6534948,6603078,6502678,6939976,7145316,7421929,7445222,7343441,7309920,7152400,7280057,7302840,7425277,7542532,7835457,7856916,7926500,7960577,8013701,7895316,8262807,8169353,8293703,8267669,8086723,7784989,7760629,7777115,7564063,7665241,7620082,"Total energy consumption.","CA","California"
"6","TETCB",424768,461946,468555,466131,498252,508906,532133,555507,622808,648930,677688,691983,756424,802038,787232,784588,818964,835293,850434,856285,838278,816435,833306,831600,867797,869818,859492,866210,899459,915293,932912,983716,983917,1051661,1053153,1078537,1128298,1125245,1170006,1189518,1251496,1353623,1353583,1354509,1382208,1416096,1432745,1484871,1488711,1466126,1513547,1470445,1440781,1470844,1477177,"Total energy consumption.","CO","Colorado"
"7","TETCB",508131,518268,536794,545442,563712,569706,609518,624146,648817,667714,694004,682668,717707,743181,714248,689651,742265,748286,768902,755772,728307,695862,696822,688492,715162,723129,739790,763578,795530,811361,768285,767359,800879,789650,791322,774279,813075,803430,782824,825906,865112,830313,816441,895278,907899,864282,810851,842882,775522,767252,764970,739130,725019,754901,750019,"Total energy consumption.","CT","Connecticut"
"8","TETCB",119872,118176,120459,121016,132268,159170,169526,182216,181890,195629,205891,199397,188830,193442,171284,163161,164436,163353,160278,152431,153262,149272,163811,162575,167024,165934,174696,174234,174976,180533,181020,187140,186771,193439,188776,191024,188535,185282,181651,185745,192617,188764,192711,189136,196871,196021,182520,194952,186873,195130,190529,183806,172963,175560,178929,"Total energy consumption.","DC","District of Columbia"
"9","TETCB",156707,150651,162273,173152,173552,184691,192954,187643,206991,219576,219874,222514,232722,246617,229120,219035,229418,227940,226572,245070,242632,195254,186602,197960,220573,214986,217108,227520,234168,241643,255443,253317,264229,268730,264056,265216,275814,276233,273796,286963,305217,292623,308936,303916,289853,302538,288661,293866,291766,259603,250212,272568,273728,273716,274013,"Total energy consumption.","DE","Delaware"
"10","TETCB",809836,848978,949692,994700,1049840,1111764,1180501,1223757,1349486,1453825,1577497,1674176,1804065,1995392,1929127,1939945,2062141,2217646,2327477,2422815,2512464,2482482,2402597,2457726,2551499,2699251,2782201,2870739,3042242,3249116,3281327,3246402,3308518,3340222,3461953,3604390,3691564,3712136,3841606,3892854,4048341,4036754,4150639,4164080,4317499,4383912,4438704,4424655,4276114,4126060,4282673,4141711,4029903,4076406,4121680,"Total energy consumption.","FL","Florida"
